STATE,LGA,WARD,POLLING UNIT,,APC,PDP,LP,NNPP,,,,,,,,,
DELTA,WARRI SOUTH WEST,OGE-IJOH,TAMBIRI,,3,5,76,0,,,,,,,,,
DELTA,WARRI SOUTH WEST,OGE-IJOH,SALVATION CITY,,5,2,11,0,,,,,,,,,
DELTA,WARRI SOUTH WEST,OGE-IJOH,NIFOR II,,3,8,22,0,,,,,,,,,
DELTA,WARRI SOUTH WEST,OGE-IJOH,SOURAGENE,,11,9,17,0,,,,,,,,,
DELTA,WARRI SOUTH WEST,OGE-IJOH,AJUJU,,2,15,76,0,,,,,,,,,
DELTA,WARRI SOUTH WEST,OGE-IJOH,OTURUBIRI,,9,13,42,2,,,,,,,,,
DELTA,WARRI SOUTH WEST,OGE-IJOH,PEREBIRI,,4,11,31,1,,,,,,,,,
DELTA,WARRI SOUTH WEST,OGE-IJOH,TEDOR/KUSIMI,,6,4,28,0,,,,,,,,,
DELTA,WARRI SOUTH WEST,OGE-IJOH,IGABE PRIMARY,,4,9,22,3,,,,,,,,,
DELTA,OKPE,OREROKPE,OPEN SPACE BY BEDC,,0,5,1,0,,,,,,,,,
DELTA,OKPE,OREROKPE,ADANE,,20,10,70,0,,,,,,,,,
DELTA,OKPE,OREROKPE,OPEN SPACE BY HOSPITAL ROAD,,1,3,18,0,,,,,,,,,
DELTA,OKPE,OREROKPE,CUSTOMARY COURT,,65,48,186,0,,,,,,,,,
DELTA,OKPE,OREROKPE,PAVILION POLICE STATION,,34,30,91,0,,,,,,,,,
DELTA,OKPE,OREROKPE,OPEN SPACE BY OLD MARKET,,3,9,13,0,,,,,,,,,
DELTA,OKPE,OREROKPE,COUNCIL MUTI PURPOSE HALL,,24,16,92,2,,,,,,,,,
DELTA,OKPE,OREROKPE,HEALTH CARE CENTER,,4,1,8,0,,,,,,,,,
DELTA,OKPE,OREROKPE,BAPTIST HIGH  SCHOOL 1,,18,23,111,0,,,,,,,,,
DELTA,OKPE,OREROKPE,OPEN  SPACE RURAL ELECTRICITY,,17,54,86,1,,,,,,,,,
DELTA,OKPE,OREROKPE,OPEN SPACE DELTA HOTEL JUNCTION,,2,6,6,0,,,,,,,,,
DELTA,OKPE,OREROKPE,OPEN SPACE BY BANK STREET JUNCTION,,1,6,14,0,,,,,,,,,
DELTA,OKPE,OREROKPE,ADANE OKPE, PRIMARY SCHOOL 2,1,5,77,0,,,,,,,,,
DELTA,OKPE,OREROKPE,ADANE OKPE PRIMARY SCHOOL 3,,31,37,87,0,,,,,,,,,
DELTA,OKPE,OREROKPE,ORHUE PRIMARY SCHOOL 2,,31,37,87,0,,,,,,,,,
DELTA,OKPE,OREROKPE,OPEN SPACE BY LIBRARY ,,10,10,100,0,,,,,,,,,
DELTA,OKPE,OREROKPE,PAVILION POLICE STATION 2,,39,26,116,2,,,,,,,,,
DELTA,OKPE,OREROKPE,ADANE OKPE PRIMARY SCHOOL 1,,31,16,82,0,,,,,,,,,
DELTA,OKPE,OREROKPE,OPEN SPACE BY POLICE STATION,,22,23,74,0,,,,,,,,,
DELTA,OKPE,OREROKPE,OPEN SPACE BY HOSPITAL ROAD 2,,0,3,15,0,,,,,,,,,
DELTA,OKPE,OREROKPE,PALACE GATE 1,,30,75,89,1,,,,,,,,,
DELTA,OKPE,OREROKPE,PALACE GATE  2,,31,45,83,0,,,,,,,,,
DELTA,OKPE,OREROKPE,BUS STOP BY CATHOLIC CHURCH,,3,7,26,0,,,,,,,,,
DELTA,OKPE,OREROKPE,OKULOHO PRIMARY SCHOOL OKULOHO 2,,52,38,22,0,,,,,,,,,
DELTA,OKPE,OREROKPE,ORHUE PRIMARY SCHOOL  1,,22,16,76,0,,,,,,,,,
